"","x"
"433",87.1111111111111
"434",78.9166666666667
"435",70.125
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",78.7361111111111
"442",NA
"443",68.75
"444",78.875
"445",NA
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",70.125
"454",NA
"455",NA
"456",NA
"457",77.7361111111111
"458",NA
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",NA
"466",87.1111111111111
"467",70.125
"468",NA
"469",NA
"470",NA
"471",NA
"472",68.75
"473",77.7361111111111
"474",NA
"475",NA
"476",NA
"477",61.4166666666667
"478",NA
"479",NA
"480",NA
"481",78.875
"482",NA
"483",58.6875
"484",64.7361111111111
"485",NA
"486",NA
"487",75.0208333333333
"488",NA
"489",83.7042253521127
"490",70.8333333333333
"491",77.6666666666667
"492",75.8194444444444
"493",NA
"494",NA
"495",75.7916666666667
"496",NA
"497",75.5138888888889
"498",82
"499",NA
"500",78.3125
"501",NA
"502",NA
"503",NA
"504",85.0833333333333
"505",86.75
"506",NA
"507",83.7042253521127
"508",NA
"509",NA
"510",70.8333333333333
"511",NA
"512",78.6
"513",75.7916666666667
"514",NA
"515",NA
"516",75.5138888888889
"517",NA
"518",72.5694444444444
"519",NA
"520",85.0833333333333
"521",NA
"522",83.7042253521127
"523",NA
"524",70.8333333333333
"525",NA
"526",75.8194444444444
"527",NA
"528",75.7916666666667
"529",NA
"530",86.2916666666667
"531",87.9166666666667
"532",75.5138888888889
"533",NA
"534",82
"535",NA
"536",72.5694444444444
"537",78.3125
"538",NA
"539",86.75
"540",85.0833333333333
"541",NA
"542",83.7042253521127
"543",NA
"544",68.9148936170213
"545",NA
"546",NA
"547",NA
"548",75.5138888888889
"549",NA
"550",72.5694444444444
"551",NA
"552",85.0833333333333
"553",NA
"554",NA
"555",NA
"556",NA
"557",NA
"558",NA
"559",NA
"560",NA
"561",NA
"562",76.7391304347826
"563",76.3191489361702
"564",NA
"565",86.0140845070423
"566",NA
"567",NA
"568",81.2535211267606
"569",NA
"570",NA
"571",NA
"572",82.6458333333333
"573",85.8169014084507
"574",NA
"575",94.4583333333333
"576",NA
"577",NA
"578",76.7391304347826
"579",NA
"580",NA
"581",86.0140845070423
"582",NA
"583",69.6875
"584",NA
"585",NA
"586",78
"587",NA
"588",NA
"589",NA
"590",NA
"591",NA
"592",NA
"593",NA
"594",77.5
"595",94.875
"596",NA
"597",NA
"598",NA
"599",NA
"600",NA
"601",NA
"602",NA
"603",69.6875
"604",NA
"605",NA
"606",NA
