"","x"
"1",64.9310344827586
"2",64.9310344827586
"3",64.9310344827586
"4",64.9310344827586
"5",64.9310344827586
"6",64.9310344827586
"7",64.9310344827586
"8",77.6666666666667
"9",77.6666666666667
"10",47.4166666666667
"11",47.4166666666667
"12",47.4166666666667
"13",47.4166666666667
"14",47.4166666666667
"15",68.7435897435897
"16",68.7435897435897
"17",68.7435897435897
"18",68.7435897435897
"19",68.7435897435897
"20",68.7435897435897
"21",68.7435897435897
"22",68.7435897435897
"23",68.7435897435897
"24",68.7435897435897
"25",47.4166666666667
"26",47.4166666666667
"27",89.7297297297297
"28",89.7297297297297
"29",89.7297297297297
"30",89.7297297297297
"31",89.7297297297297
"32",89.7297297297297
"33",68.7435897435897
"34",68.7435897435897
"35",68.7435897435897
"36",68.7435897435897
"37",61.75
"38",61.75
"39",61.75
"40",61.75
"41",61.75
"42",61.75
"43",61.75
"44",89.7297297297297
"45",89.7297297297297
"46",64.9310344827586
"47",64.9310344827586
"48",47.4166666666667
"49",47.4166666666667
"50",47.4166666666667
"51",47.4166666666667
"52",47.4166666666667
"53",47.4166666666667
"54",61.75
"55",79.4838709677419
"56",79.4838709677419
"57",79.4838709677419
"58",79.4838709677419
"59",79.4838709677419
"60",79.4838709677419
"61",79.4838709677419
"62",79.4838709677419
"63",79.4838709677419
"64",79.4838709677419
"65",79.4838709677419
"66",79.4838709677419
"67",79.4838709677419
"68",79.4838709677419
"69",77.6666666666667
"70",77.6666666666667
"71",89.7297297297297
"72",89.7297297297297
"73",89.7297297297297
"74",89.7297297297297
"75",89.7297297297297
"76",89.7297297297297
"77",79.4838709677419
"78",64.9310344827586
"79",64.9310344827586
"80",64.9310344827586
"81",64.9310344827586
"82",64.9310344827586
"83",64.9310344827586
"84",77.6666666666667
"85",77.6666666666667
"86",77.6666666666667
"87",77.6666666666667
"88",61.75
"89",61.75
"90",61.75
"91",61.75
"92",61.75
"93",89.7297297297297
"94",89.7297297297297
"95",77.6666666666667
"96",79.4838709677419
"97",79.4838709677419
"98",79.4838709677419
"99",79.4838709677419
"100",79.4838709677419
"101",79.4838709677419
"102",79.4838709677419
"103",79.4838709677419
"104",79.4838709677419
"105",79.4838709677419
"106",79.4838709677419
"107",79.4838709677419
"108",79.4838709677419
"109",79.4838709677419
"110",79.4838709677419
"111",79.4838709677419
"112",79.4838709677419
"113",79.4838709677419
"114",79.4838709677419
"115",64.9310344827586
"116",64.9310344827586
"117",64.9310344827586
"118",64.9310344827586
"119",64.9310344827586
"120",64.9310344827586
"121",64.9310344827586
"122",64.9310344827586
"123",64.9310344827586
"124",64.9310344827586
"125",64.9310344827586
"126",64.9310344827586
"127",64.9310344827586
"128",64.9310344827586
"129",64.9310344827586
"130",64.9310344827586
"131",64.9310344827586
"132",64.9310344827586
"133",64.9310344827586
"134",64.9310344827586
"135",64.9310344827586
"136",64.9310344827586
"137",64.9310344827586
"138",64.9310344827586
"139",64.9310344827586
"140",64.9310344827586
"141",77.6666666666667
"142",77.6666666666667
"143",77.6666666666667
"144",77.6666666666667
"145",77.6666666666667
"146",77.6666666666667
"147",77.6666666666667
"148",77.6666666666667
"149",77.6666666666667
"150",77.6666666666667
"151",77.6666666666667
"152",77.6666666666667
"153",77.6666666666667
"154",77.6666666666667
"155",77.6666666666667
"156",77.6666666666667
"157",77.6666666666667
"158",77.6666666666667
"159",77.6666666666667
"160",77.6666666666667
"161",77.6666666666667
"162",77.6666666666667
"163",77.6666666666667
"164",77.6666666666667
"165",77.6666666666667
"166",77.6666666666667
"167",68.7435897435897
"168",68.7435897435897
"169",68.7435897435897
"170",68.7435897435897
"171",68.7435897435897
"172",68.7435897435897
"173",68.7435897435897
"174",68.7435897435897
"175",68.7435897435897
"176",68.7435897435897
"177",68.7435897435897
"178",68.7435897435897
"179",68.7435897435897
"180",68.7435897435897
"181",68.7435897435897
"182",68.7435897435897
"183",68.7435897435897
"184",68.7435897435897
"185",68.7435897435897
"186",68.7435897435897
"187",68.7435897435897
"188",68.7435897435897
"189",68.7435897435897
"190",68.7435897435897
"191",68.7435897435897
"192",68.7435897435897
"193",47.4166666666667
"194",47.4166666666667
"195",47.4166666666667
"196",47.4166666666667
"197",47.4166666666667
"198",47.4166666666667
"199",47.4166666666667
"200",47.4166666666667
"201",47.4166666666667
"202",47.4166666666667
"203",47.4166666666667
"204",47.4166666666667
"205",47.4166666666667
"206",47.4166666666667
"207",47.4166666666667
"208",47.4166666666667
"209",47.4166666666667
"210",47.4166666666667
"211",47.4166666666667
"212",47.4166666666667
"213",47.4166666666667
"214",47.4166666666667
"215",47.4166666666667
"216",47.4166666666667
"217",47.4166666666667
"218",47.4166666666667
"219",89.7297297297297
"220",89.7297297297297
"221",89.7297297297297
"222",89.7297297297297
"223",89.7297297297297
"224",89.7297297297297
"225",89.7297297297297
"226",89.7297297297297
"227",89.7297297297297
"228",89.7297297297297
"229",89.7297297297297
"230",89.7297297297297
"231",89.7297297297297
"232",89.7297297297297
"233",89.7297297297297
"234",89.7297297297297
"235",89.7297297297297
"236",89.7297297297297
"237",89.7297297297297
"238",89.7297297297297
"239",89.7297297297297
"240",89.7297297297297
"241",89.7297297297297
"242",89.7297297297297
"243",89.7297297297297
"244",89.7297297297297
"245",89.7297297297297
"246",89.7297297297297
"247",61.75
"248",61.75
"249",61.75
"250",61.75
"251",61.75
"252",61.75
"253",61.75
"254",61.75
"255",61.75
"256",61.75
"257",61.75
"258",61.75
"259",61.75
"260",61.75
"261",61.75
"262",61.75
"263",61.75
"264",61.75
"265",61.75
"266",61.75
"267",61.75
"268",61.75
"269",61.75
"270",64.9310344827586
"271",64.9310344827586
"272",64.9310344827586
"273",64.9310344827586
"274",64.9310344827586
"275",64.9310344827586
"276",64.9310344827586
"277",64.9310344827586
"278",64.9310344827586
"279",64.9310344827586
"280",64.9310344827586
"281",64.9310344827586
"282",64.9310344827586
"283",64.9310344827586
"284",64.9310344827586
"285",64.9310344827586
"286",64.9310344827586
"287",64.9310344827586
"288",64.9310344827586
"289",64.9310344827586
"290",64.9310344827586
"291",64.9310344827586
"292",64.9310344827586
"293",77.6666666666667
"294",77.6666666666667
"295",79.4838709677419
"296",79.4838709677419
"297",79.4838709677419
"298",77.6666666666667
"299",77.6666666666667
"300",77.6666666666667
"301",77.6666666666667
"302",77.6666666666667
"303",77.6666666666667
"304",77.6666666666667
"305",77.6666666666667
"306",77.6666666666667
"307",77.6666666666667
"308",77.6666666666667
"309",77.6666666666667
"310",77.6666666666667
"311",77.6666666666667
"312",77.6666666666667
"313",77.6666666666667
"314",77.6666666666667
"315",77.6666666666667
"316",77.6666666666667
"317",77.6666666666667
"318",77.6666666666667
"319",77.6666666666667
"320",77.6666666666667
"321",68.7435897435897
"322",68.7435897435897
"323",68.7435897435897
"324",68.7435897435897
"325",47.4166666666667
"326",47.4166666666667
"327",47.4166666666667
"328",47.4166666666667
"329",47.4166666666667
"330",47.4166666666667
"331",47.4166666666667
"332",47.4166666666667
"333",47.4166666666667
